HAWAIIN SUNSET	LEMON JUICE		JUICE (LEMON)	62
HAWAIIN SUNSET	ORGEAT		SYRUP (ALMOND)	62
HAWAIIN SUNSET	GRENADINE		SYRUP (GRENADINE)	62
HAWAIIN SUNSET	VODKA		VODKA	62
				
CAPTAIN'S GROG	LIME JUICE		JUICE (LIME)	65
CAPTAIN'S GROG	GRAPEFRUIT JUICE		JUICE (GRAPEFRUIT)	65
CAPTAIN'S GROG	MAPLE SYRUP		SYRUP (MAPLE)	65
CAPTAIN'S GROG	VANILLA EXTRACT		EXTRACT (VANILLA)	65
CAPTAIN'S GROG	ALMOND EXTRACT		EXTRACT (ALMOND)	65
CAPTAIN'S GROG	SELTZER		SODA	65
CAPTAIN'S GROG	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	65
CAPTAIN'S GROG	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	65
CAPTAIN'S GROG	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	65
CAPTAIN'S GROG	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	65
CAPTAIN'S GROG	BLENDED AGED RUM	3	RUM (BLENDED AGED)	65
				
SUFFERING BASTARD	GINGER BEER		BEER (GINGER)	65
SUFFERING BASTARD	LIME JUICE		JUICE (LIME)	65
SUFFERING BASTARD	DEMERARA SYRUP		SYRUP (DEMERARA)	65
SUFFERING BASTARD	LONDON DRY GIN		GIN (LONDON DRY)	65
SUFFERING BASTARD	BRANDY		BRANDY (GRAPE)	65
SUFFERING BASTARD	ANGOSTURA BITTERS		BITTERS (AROMATIC)	65
				
MERCILESS VIRGIN	LEMON JUICE		JUICE (LEMON)	67
MERCILESS VIRGIN	SELTZER		SODA	67
MERCILESS VIRGIN	CHERRY HEERING LIQUEUR		LIQUEUR (CHERRY HEERING)	67
MERCILESS VIRGIN	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	67
MERCILESS VIRGIN	PIERRE FERRAND DRY CURACAO		LIQUEUR (ORANGE)	67
MERCILESS VIRGIN	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	67
				
SATURN	LEMON JUICE		JUICE (LEMON)	67
SATURN	PASSION FRUIT SYRUP		SYRUP (PASSION FRUIT)	67
SATURN	ORGEAT		SYRUP (ALMOND)	67
SATURN	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	67
SATURN	LONDON DRY GIN		GIN (LONDON DRY)	67
				
TIKI BOWL	ORANGE JUICE		JUICE (ORANGE)	68
TIKI BOWL	LIME JUICE		JUICE (LIME)	68
TIKI BOWL	HONEY SYRUP		SYRUP (HONEY)	68
TIKI BOWL	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	68
TIKI BOWL	BLACK BLENDED OVERPROOF RUM	6	RUM (BLACK BLENDED OVERPROOF)	68
TIKI BOWL	COLUMN STILL AGED RUM	4	RUM (COLUMN STILL AGED)	68
TIKI BOWL	HERBSTURA		BITTERS (HERBSTURA)	68
				
HURRICANE	LEMON JUICE		JUICE (LEMON)	68
HURRICANE	PASSION FRUIT SYRUP		SYRUP (PASSION FRUIT)	68
HURRICANE	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	68
				
MUNDO PERDIDO	LEMON JUICE		JUICE (LEMON)	93
MUNDO PERDIDO	CINNAMON SYRUP		SYRUP (CINNAMON)	93
MUNDO PERDIDO	DEMERARA SYRUP		SYRUP (DEMERARA)	93
MUNDO PERDIDO	APPLE BRANDY		BRANDY (APPLE)	93
MUNDO PERDIDO	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	93
				
FORMIDABLE DRAGON	LEMON JUICE		JUICE (LEMON)	93
FORMIDABLE DRAGON	LIME JUICE		JUICE (LIME)	93
FORMIDABLE DRAGON	HONEY SYRUP		SYRUP (HONEY)	93
FORMIDABLE DRAGON	MOLASSES SYRUP		SYRUP (MOLASSES)	93
FORMIDABLE DRAGON	AMARO DI ANGOSTURA		AMARO (DI ANGOSTURA)	93
FORMIDABLE DRAGON	BLENDED AGED RUM	3	RUM (BLENDED AGED)	93
FORMIDABLE DRAGON	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	93
FORMIDABLE DRAGON	POT STILL LIGHTLY AGED RUM (OVERPROOF)	1	POT STILL LIGHTLY AGED RUM (OVERPROOF)	93
FORMIDABLE DRAGON	SELTZER		SODA	93
				
LEI LANI VOLCANO 2.0	BUNDABERG GUAVA SODA		SODA (GUAVA)	94
LEI LANI VOLCANO 2.0	PINEAPPLE JUICE		JUICE (PINEAPPLE)	94
LEI LANI VOLCANO 2.0	LIME JUICE		JUICE (LIME)	94
LEI LANI VOLCANO 2.0	COCONUT CREAM		CREAM (COCONUT)	94
LEI LANI VOLCANO 2.0	BLENDED AGED RUM	3	RUM (BLENDED AGED)	94
				
TRADEWINDS	LEMON JUICE		JUICE (LEMON)	94
TRADEWINDS	COCONUT CREAM		CREAM (COCONUT)	94
TRADEWINDS	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	94
TRADEWINDS	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	94
TRADEWINDS	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	94
				
PEACHTREE PUNCH 2.0	YELLOW OR WHITE PEACH, PITTED, AND COARSELY CHOPPED INTO CHUNKS (WITH SKIN)		FRUIT (PEACH)	96
PEACHTREE PUNCH 2.0	ORANGE JUICE		JUICE (ORANGE)	96
PEACHTREE PUNCH 2.0	LEMON JUICE		JUICE (LEMON)	96
PEACHTREE PUNCH 2.0	COCONUT CREAM		CREAM (COCONUT)	96
PEACHTREE PUNCH 2.0	PEACH LIQUEUR (SUCH AS MATHILDE PEACH OR COMBIER CRÈME DE PÊCHE DE VIGNE)		LIQUEUR (PEACH)	96
PEACHTREE PUNCH 2.0	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	96
PEACHTREE PUNCH 2.0	SELTZER		SODA	96
				
JUNGLE BIRD	PINEAPPLE JUICE		JUICE (PINEAPPLE)	96
JUNGLE BIRD	LIME JUICE		JUICE (LIME)	96
JUNGLE BIRD	DEMERARA SYRUP		SYRUP (DEMERARA)	96
JUNGLE BIRD	CAMPARI		AMARO (CAMPARI)	96
JUNGLE BIRD	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	96
				
GOLDEN GUN	LIME JUICE		JUICE (LIME)	97
GOLDEN GUN	GRAPEFRUIT JUICE		JUICE (GRAPEFRUIT)	97
